timestamp,machine_id,line,temp_c,vibration,pressure_kpa,rpm,current_a
2026-01-01T09:00:00,M-01,L-1,45.2,0.18,310.0,1480,8.1
2026-01-01T09:00:05,M-01,L-1,45.4,0.19,309.7,1478,8.0
2026-01-01T09:00:10,M-01,L-1,45.5,0.18,309.8,1482,8.2
2026-01-01T09:00:15,M-01,L-1,45.7,0.20,309.4,1481,8.1
2026-01-01T09:00:20,M-01,L-1,46.2,0.24,309.2,1485,8.4
2026-01-01T09:00:25,M-01,L-1,47.5,0.35,308.8,1490,8.9
2026-01-01T09:00:30,M-01,L-1,49.0,0.48,308.1,1498,9.6
2026-01-01T09:00:35,M-01,L-1,51.2,0.62,307.5,1505,10.1
2026-01-01T09:00:40,M-01,L-1,54.0,0.78,306.2,1510,10.8
2026-01-01T09:00:45,M-01,L-1,57.8,0.92,305.0,1515,11.6
